Statistical profiling result from v8.log, (98761 ticks, 525 unaccounted, 0 excluded).

 [Unknown]:
   ticks  total  nonlib   name
    525    0.5%

 [Shared libraries]:
   ticks  total  nonlib   name
     18    0.0%    0.0%  LazyCompile: ~Ball.destroy /opt/box/node_modules/agario-client/agario-client.js:673:22
     18    0.0%    0.0%  LazyCompile: Client.onMessage /opt/box/node_modules/agario-client/agario-client.js:137:24
     18    0.0%    0.0%  LazyCompile: *InnerArrayForEach native array.js:924:27
     18    0.0%    0.0%  Handler: call {5}
     18    0.0%    0.0%  Handler: buffer
     18    0.0%    0.0%  Handler: An IC handler from the snapshot {13}
     17    0.0%    0.0%  Stub: StoreFieldStub {15}
     17    0.0%    0.0%  Stub: RecordWriteStub {23}
     17    0.0%    0.0%  Stub: LoadConstantStub {3}
     17    0.0%    0.0%  Stub: InternalArraySingleArgumentConstructorStub
     17    0.0%    0.0%  Stub: CompareICStub {6}
     17    0.0%    0.0%  LazyCompile: *indexOf native string.js:76:25
     16    0.0%    0.0%  Stub: CompareICStub {5}
     16    0.0%    0.0%  LazyCompile: *<anonymous> /opt/box/node_modules/ws/lib/BufferPool.js:35:41
     16    0.0%    0.0%  Handler: emit {2}
     16    0.0%    0.0%  Handler: activeFragmentedOperation {6}
     16    0.0%    0.0%  Builtin: ArrayPush
     15    0.0%    0.0%  Stub: LoadFieldStub {15}
     15    0.0%    0.0%  Stub: BinaryOpICStub {1}
     15    0.0%    0.0%  LazyCompile: ~removeListener events.js:272:28
     15    0.0%    0.0%  LazyCompile: ~removeAllListeners events.js:328:32
     15    0.0%    0.0%  LazyCompile: *Readable.read _stream_readable.js:250:35
     15    0.0%    0.0%  LazyCompile: *InnerArrayMap native array.js:1001:23
     15    0.0%    0.0%  LazyCompile: *Buffer buffer.js:47:16
     15    0.0%    0.0%  LazyCompile: *Bot.connect /opt/box/bot.js:63:33
     15    0.0%    0.0%  Handler: update
     15    0.0%    0.0%  Handler: reset {2}
     15    0.0%    0.0%  Handler: error {51}
     14    0.0%    0.0%  Stub: StoreTransitionStub {21}
     14    0.0%    0.0%  Stub: LoadFieldStub {12}
     14    0.0%    0.0%  Stub: LoadConstantStub {6}
     14    0.0%    0.0%  Stub: CallICTrampolineStub
     14    0.0%    0.0%  LazyCompile: *send /opt/box/node_modules/ws/lib/WebSocket.js:210:41
     14    0.0%    0.0%  LazyCompile: *Socket net.js:109:16
     14    0.0%    0.0%  LazyCompile: *Client.processors.49 /opt/box/node_modules/agario-client/agario-client.js:380:23
     14    0.0%    0.0%  LazyCompile: *Ball /opt/box/node_modules/agario-client/agario-client.js:651:14
     14    0.0%    0.0%  Handler: domain {5}
     14    0.0%    0.0%  Handler: call {7}
     14    0.0%    0.0%  Handler: activeFragmentedOperation {3}
     14    0.0%    0.0%  Handler: _events {2}
     14    0.0%    0.0%  Handler: An IC handler from the snapshot
     13    0.0%    0.0%  StorePolymorphicIC: _buffer {4}
     13    0.0%    0.0%  LazyCompile: ~Bot.reset /opt/box/bot.js:193:31
     13    0.0%    0.0%  LazyCompile: ~<anonymous> net.js:467:32
     13    0.0%    0.0%  LazyCompile: *Sender.send /opt/box/node_modules/ws/lib/Sender.js:102:33
     13    0.0%    0.0%  LazyCompile: *Bot.send /opt/box/bot.js:249:30
